iter	Passed	Remaining
0	183	183054
1	229	114563
2	275	91398
3	320	79728
4	365	72680
5	393	65110
6	433	61509
7	478	59349
8	524	57703
9	569	56394
10	614	55283
11	660	54410
12	707	53705
13	742	52306
14	786	51620
15	831	51148
16	876	50702
17	922	50300
18	967	49934
19	1013	49648
20	1081	50419
21	1127	50109
22	1172	49812
23	1199	48787
24	1242	48471
25	1288	48260
26	1334	48086
27	1380	47918
28	1425	47731
29	1470	47556
30	1516	47417
31	1562	47265
32	1607	47115
33	1656	47053
34	1702	46927
35	1748	46817
36	1794	46698
37	1828	46294
38	1853	45668
39	1894	45468
40	1939	45372
41	1985	45294
42	2030	45190
43	2076	45126
44	2122	45040
45	2167	44959
46	2222	45074
47	2269	45020
48	2316	44955
49	2361	44870
50	2406	44787
51	2451	44700
52	2496	44615
53	2542	44533
