人工结果,预测结果,预测概率,模型准确率
通过,通过,0.5514837987253446,0.7454545454545455
通过,通过,0.5514837987253446,0.7454545454545455
通过,通过,0.5217726820568689,0.7454545454545455
通过,通过,0.5217726820568689,0.7454545454545455
通过,不通过,0.4401115074513326,0.7454545454545455
不通过,通过,0.5514837987253446,0.7454545454545455
不通过,通过,0.5514837987253446,0.7454545454545455
不通过,不通过,0.4401115074513326,0.7454545454545455
不通过,不通过,0.4401115074513326,0.7454545454545455
不通过,不通过,0.4401115074513326,0.7454545454545455
不通过,不通过,0.4401115074513326,0.7454545454545455
不通过,不通过,0.4401115074513326,0.7454545454545455
不通过,通过,0.5514837987253446,0.7454545454545455
不通过,不通过,0.4401115074513326,0.7454545454545455
不通过,不通过,0.4401115074513326,0.7454545454545455
不通过,不通过,0.4401115074513326,0.7454545454545455
不通过,不通过,0.4401115074513326,0.7454545454545455
通过,通过,0.5185409381639825,0.7454545454545455
通过,通过,0.5185409381639825,0.7454545454545455
通过,通过,0.5185409381639825,0.7454545454545455
通过,通过,0.5395932084317973,0.7454545454545455
通过,通过,0.5185409381639825,0.7454545454545455
